CT Hotel ID,Market Name
40160,Chains
308341,Chains
327274,Chains
306820,Chains
2161478,Chains
1324948,Chains
1330796,Chains
1325418,Chains
1328740,Chains
1336450,Chains
1336460,Chains
1330810,Chains
1330812,Chains
1336554,Chains
1338590,Chains
1338596,Chains
1338602,Chains
2047192,Chains
739840,Chains
739854,Chains
739806,Chains
739870,Chains
739960,Chains
740042,Chains
747644,Chains
747712,Chains
747676,Chains
955178,Chains
868316,Chains
866560,Chains
747720,Chains
866570,Chains
866602,Chains
2051108,Chains
2046874,Chains
867012,Chains
866960,Chains
868356,Chains
740407,Chains
867000,Chains
867010,Chains
2047172,Chains
868388,Chains
914740,Chains
2051112,Chains
955192,Chains
955198,Chains
934700,Chains
2047734,Chains
2046918,Chains
1324906,Chains
2047202,Chains
2047668,Chains
2047460,Chains
2161472,Chains
2051128,Chains
2161578,Chains
2047174,Chains
2047824,Chains
2047892,Chains
2047826,Chains
2046980,Chains
2047886,Chains
2047822,Chains
1098124,Chains
2047878,Chains
2047882,Chains
2047010,Chains
1326906,Chains
44668,Chains
79905,Chains
79881,Chains
781944,Chains
707595,Chains
707540,Chains
306900,Chains
314680,Chains
314551,Chains
2043762,Chains
40128,Chains
40155,Chains
722119,Chains
2046850,Chains
311640,Chains
329680,Chains
721626,Chains
2044128,Chains
375936,Chains
714305,Chains
318330,Chains
318329,Chains
318332,Chains
1358002,Chains
41986,Chains
319211,Chains
40153,Chains
1360936,Chains
1350162,Chains
329999,Chains
1337380,Chains
1328488,Chains
206612,Chains
709444,Chains
40121,Chains
707643,Chains
210960,Chains
1359744,Chains
41610,Chains
201056,Chains
210943,Chains
380263,Chains
1358782,Chains
955684,Chains
378597,Chains
1136864,Chains
1359128,Chains
354702,Chains
841038,Chains
726561,Chains
2048176,Chains
719600,Chains
377135,Chains
1326502,Chains
1703680,Chains
1361354,Chains
2049048,Chains
2046868,Chains
2159648,Chains
2044790,Chains
318306,Chains
1347436,Chains
1324664,Chains
1360308,Chains
714002,Chains
746776,Chains
2043380,Chains
2043502,Chains
2043886,Chains
2050892,Chains
712016,Chains
327236,Chains
707623,Chains
707598,Chains
707626,Chains
717881,Chains
717624,Chains
319737,Chains
717623,Chains
2050898,Chains
2178812,Chains
2052760,Chains
955194,Chains
955210,Chains
2356576,Chains
2356578,Chains
2356580,Chains
2356582,Chains
2356584,Chains
2356586,Chains
2356592,Chains
2356594,Chains
2356596,Chains
2356600,Chains
2356602,Chains
2356608,Chains
2356610,Chains
2356616,Chains
2356622,Chains
2356624,Chains
2356626,Chains
2356628,Chains
2356632,Chains
2356634,Chains
2356638,Chains
2356640,Chains
2356644,Chains
2356646,Chains
2356650,Chains
2356652,Chains
2356654,Chains
2356656,Chains
2356658,Chains
2356660,Chains
2356662,Chains
2356664,Chains
2356666,Chains
2356668,Chains
2356670,Chains
2356690,Chains
2356694,Chains
2356698,Chains
2356700,Chains
2356702,Chains
2356704,Chains
2356706,Chains
2356810,Chains
2356814,Chains
2356816,Chains
2356818,Chains
2356820,Chains
2356822,Chains
2356826,Chains
2356828,Chains
2356832,Chains
2356834,Chains
2356836,Chains
2356842,Chains
2356844,Chains
2356846,Chains
2356850,Chains
2356852,Chains
2356856,Chains
2356858,Chains
2356860,Chains
2356862,Chains
2356868,Chains
2356872,Chains
2356874,Chains
2356880,Chains
2356882,Chains
2356884,Chains
2356888,Chains
2356890,Chains
2356892,Chains
2356894,Chains
2356896,Chains
2356898,Chains
2356900,Chains
2356904,Chains
2356908,Chains
2356910,Chains
2356912,Chains
2356914,Chains
2356916,Chains
2356918,Chains
2356930,Chains
2356932,Chains
2356934,Chains
2356936,Chains
2356938,Chains
2356958,Chains
2356960,Chains
2356962,Chains
2356964,Chains
2356966,Chains
2356970,Chains
2356972,Chains
2356976,Chains
2356978,Chains
2356998,Chains
2357000,Chains
2357004,Chains
2357006,Chains
2357008,Chains
2357012,Chains
2360000,Chains
2360060,Chains
2360092,Chains
2360104,Chains
2360118,Chains
2360138,Chains
2360152,Chains
2360160,Chains
2360172,Chains
2360176,Chains
2360194,Chains
2360212,Chains
2360218,Chains
2360228,Chains
2360232,Chains
2360260,Chains
2360264,Chains
2360274,Chains
2360306,Chains
2360324,Chains
2360330,Chains
2360336,Chains
2360354,Chains
2360358,Chains
2360372,Chains
2360382,Chains
2360408,Chains
2360420,Chains
2360424,Chains
2360472,Chains
2360474,Chains
2360490,Chains
2360612,Chains
2360616,Chains
2360670,Chains
2360688,Chains
2360910,Chains
2360924,Chains
2360928,Chains
2360978,Chains
2360982,Chains
2360984,Chains
2360986,Chains
2360988,Chains
2360994,Chains
2360996,Chains
2361000,Chains
2361002,Chains
2361004,Chains
2361008,Chains
2361010,Chains
2361016,Chains
2361020,Chains
2361022,Chains
2361024,Chains
2361026,Chains
2361052,Chains
2183642,Chains
2355290,Chains
2355330,Chains
2355332,Chains
2359496,Chains
2363658,Chains
375514,Chains
760574,Chains
2402664,Chains
2364932,Chains
2420256,Chains
2402890,Chains
2363900,Chains
2415694,Chains
2365974,Chains
2420180,Chains
2420214,Chains
2420270,Chains
2420370,Chains
2420538,Chains
2422306,Chains
2422314,Chains
2424256,Chains
2424300,Chains
787330,Chains
2050888,Chains
1358784,Chains
1358814,Chains
1358824,Chains
1358818,Chains
1358826,Chains
1358766,Chains
1358768,Chains
1358770,Chains
317538,Chains
1358816,Chains
1358822,Chains
1358828,Chains
2047636,Chains
2047568,Chains
2161452,Chains
2161456,Chains
2363474,Chains
2363476,Chains
2363478,Chains
2394174,Chains
2394164,Chains
2412578,Chains
2412580,Chains
2412570,Chains
722458,Chains
1351716,Chains
1331932,Chains
1327802,Chains
1327800,Chains
1327778,Chains
1345640,Chains
1337304,Chains
1337556,Chains
1327554,Chains
712627,Chains
1338904,Chains
2047590,Chains
723755,Chains
319551,Chains
2357070,Chains
2357220,Chains
2357244,Chains
712631,KERALA2
332279,Chains
354500,Chains
2179094,Chains
2414850,Chains
1323292,Chains
1344604,Chains
1345068,Chains
1325410,Chains
1358682,Chains
382509,Chains
1361238,Chains
381067,Chains
1330748,Chains
2047880,Chains
2361030,Chains
1358502,Chains
760952,Chains
375695,Chains
711943,Chains
2176858,Chains
2414696,Chains
957254,Chains
1328860,Chains
1509842,Chains
387776,Chains
722177,Chains
723697,Chains
717233,Chains
