Booking_hotel_id,Booking_hotel_url,cleartrip_hotel_id,TA_hotel_id,cthotel_name,TA_url,Booking_hotel_name,TA_city_name
2098342,https://www.booking.com/hotel/in/labh-garh-palace.en-gb.html,317078,2306829,Labh Garh Palace,https://www.tripadvisor.in/Hotel_Review-d2306829.html,Labh Garh Palace,Udaipur
2098351,https://www.booking.com/hotel/in/spring-valley-residency.en-gb.html,335285,3663279,Spring Valley Residency,https://www.tripadvisor.in/Hotel_Review-d3663279.html,Spring Valley Residency,Kodaikanal
2098471,https://www.booking.com/hotel/in/reevanta.en-gb.html,1330216,8449595,Hotel Reevanta,https://www.tripadvisor.in/Hotel_Review-d8449595.html,Hotel Reevanta,Daman
2098546,https://www.booking.com/hotel/in/sun-city.en-gb.html,760730,6030098,Hotel Sun City - Central Railway Station,https://www.tripadvisor.in/Hotel_Review-d6030098.html,Sun City,Chennai
2098564,https://www.booking.com/hotel/in/rainbow-vadodara.en-gb.html,721478,2485166,Hotel Rainbow Vadodara,https://www.tripadvisor.in/Hotel_Review-d2485166.html,Hotel Rainbow,Vadodara
2099671,https://www.booking.com/hotel/in/poonam-plaza-agra.en-gb.html,739122,4561000,Hotel Poonam Plaza,https://www.tripadvisor.in/Hotel_Review-d4561000.html,Hotel Poonam Plaza,Agra
2107120,https://www.booking.com/hotel/in/suncity-surat.en-gb.html,375535,3179057,Hotel Suncity,https://www.tripadvisor.in/Hotel_Review-d3179057.html,Hotel SunCity,Surat
2107123,https://www.booking.com/hotel/in/swan-mubarikpur123.en-gb.html,869158,7893870,Hotel Swan,https://www.tripadvisor.in/Hotel_Review-d7893870.html,Hotel Swan,Chandigarh
2107125,https://www.booking.com/hotel/in/padmini-dharamshala.en-gb.html,737762,3974147,Hotel Padmini,https://www.tripadvisor.in/Hotel_Review-d3974147.html,Padmini,Dharamshala
2107177,https://www.booking.com/hotel/in/woodywoods.en-gb.html,1324678,8300249,WoodyWoods Homestay,https://www.tripadvisor.in/Hotel_Review-d8300249.html,Woodywoods,Coorg
2107208,https://www.booking.com/hotel/in/the-vijaya-castle.en-gb.html,1362152,3968087,The Vijaya Castle,https://www.tripadvisor.in/Hotel_Review-d3968087.html,The Vijaya Castle,Kollam
