CT Hotel ID,AVERAGE_PRICE_DIFFERENCE
384693,-499
384713,833.333333333
384734,3528
384793,200
384983,-125
385253,550
385295,-500
385314,1350
385337,300
385395,-657
385535,1000
385573,901
385594,1446.66666667
385595,-666.666666667
385658,1423
385714,2858.33333333
385853,450
385876,4000
385880,150
385893,499
385937,250
385978,-500
385993,-3412
386013,451.166666667
386054,90
386140,33.3333333333
386161,-777.5
386193,300
386322,301
386334,-759
386353,-5750
386376,-27500
386434,1250
386513,300
386533,3000
386535,-601
386536,500
386574,-349
386615,500
386674,2100
386695,215
386756,750
386797,324
386834,204
386939,604.75
386978,6750
387039,-47155.25
387060,1499
387061,300
387214,-450
387335,890
387356,-1750
387363,1000
387373,808.333333333
387375,-1480
387433,1833.33333333
387475,1000
387478,200.166666667
387482,-150
387483,-1500
387504,3850
387521,184.8
387522,499
387594,-450
387613,149
387614,587.5
387615,-1251
387693,211.111111111
387714,-1134.66666667
387715,-71.0476190476
387720,-575
387733,-443
387736,400
387755,1367
387760,49
387782,-825
387795,450
387822,400
387827,-883.5
387833,1800
387834,-700
387900,-2179
387907,500
387916,1052
387953,-2350.0
388034,-950
388037,1100
388053,-500
388054,2812
388075,-500
388078,-100
388094,5250
388095,400
388113,-12700
388118,300
388120,300
388125,300
388138,1250
388140,625.5
388156,1175
388161,350
388174,1649
388236,7000
388293,-333.333333333
388333,2000
388336,301
388355,567.5
388415,-300
388416,1237
388441,1233.33333333
388502,500
388503,200
388521,331.5
388580,600.0
388621,-5000
388680,501
388702,380
388740,500
388761,296.428571429
388762,130
388764,7836.5
388783,-250
388787,1850
388788,-1000
388828,-750
388829,250
388847,1000
388908,2280
389033,3440
389130,-108
389132,421.666666667
389188,1350
389247,1000
389267,451
389289,1023
389290,232.666666667
389292,201
389329,-600
389348,475.25
389368,1499
389409,250
389410,-0.166666666666
389430,500
389547,700
389573,6000
389588,-440
389589,400
389707,7000
389727,301
389748,1500
389749,1500
389769,500
389808,3000
389809,18744.5
389932,100
389950,-8206.33333333
389970,20
389971,-932
389987,3135
390008,500
390009,2750
390011,1500
390014,-383.083333333
390028,1212.8
413449,-1000
413487,2000
413507,-2499
413548,1000
413587,6601
413688,2000
413690,-280.3
413708,-237.5
413709,1247.66666667
413767,3906
413772,500
423268,-1083.83333333
423297,-320
423310,-2361.25
423311,2500
423329,500
423330,800
423369,-250
423387,-1260.41666667
423391,6000
423427,1977
423428,950.5
423675,466.5
423707,-250
423724,500
423738,300
423741,1433.33333333
423742,599
707349,500
707352,-1000
707368,285.571428571
707370,-349
707371,-3666.66666667
707391,-600
707398,500
707401,-300
707450,500
707468,-349.5
707471,-62
707474,827.208333333
707475,-500
707482,-10000
707492,800
707500,2300
707548,2499
707597,1500
707601,791.666666667
707604,3000
707612,2000
707627,2874
707628,1876
707629,-1000
707638,-2500
707641,200
707644,-450
707718,1349
707725,400
707742,1158.66666667
707744,-310
707749,-1179.41666667
707753,700
707787,-799
707790,300
707796,1000
707798,333.333333333
707800,900
707808,1333.33333333
707829,1000
707830,800
707868,-1033.33333333
707869,500
707892,-1470.625
707895,1000
707908,400
707910,700
707924,899
707952,1500
707962,500
707971,2000
708027,-250
708030,1000
708073,31.5
708090,1000
708096,650
708098,450
708108,533.333333333
708116,-1600
708145,700
708147,-437.5
708148,824
708149,5000
708152,950
708165,500
708177,14040
708178,-833.333333333
708180,-275
708202,-811
708263,-1200
708284,-1500
708295,1000
708301,701
708308,-1000
708322,500
708443,500
708449,877.5
708482,-906.25
708488,-1453
708489,467
708503,-580
708509,1819
708523,-125
708549,-183.333333333
708558,820
708560,-750
708563,300
708574,1400
708578,1000
708579,1125
708601,-750
708602,-624.5
708606,950
708617,1333
708621,341.666666667
708641,1300
708642,601
708721,324.5
708747,1200
708762,800
708765,650
708767,650
708768,950.333333333
708772,800
708801,300
708809,-2500
708813,475
708819,-400
708835,-1700
708841,-400
708843,601
708871,962.333333333
708920,1350
708921,300
708926,500
708961,-750
708980,400
708982,537.5
708987,350
709041,2050
709043,1621.33333333
709059,310
709066,-1174
709072,500
709081,750
709100,-430
709102,656
709121,1800
709141,-500
709165,500
709169,-470
709173,200
709181,2500
709185,600
709187,500
709191,-168.083333333
709202,349
709225,-1000
709266,810
709270,500
709381,-1812.5
709392,244
709410,266.666666667
709413,500.5
709424,-1000
709431,1202.5
709441,1798.16666667
709442,337.5
709445,-500
709451,1577.77777778
709470,-405
709506,500
709512,-525
709544,400
709549,2000
709583,2900
709584,900
709612,400
709646,-301
709661,400
709680,1400
709701,775
709705,300
709711,316.666666667
709806,1075
709810,-49
709815,1000
709822,-650
709827,-3051
709832,-600
709834,201
709837,2090.5
709875,2666.66666667
709888,449
709898,2050
709951,403.333333333
709955,900
709959,345.666666667
709972,335.333333333
709974,350
710041,916.666666667
710046,-375
710060,400
710126,495
710127,-1000
710203,-1040
710205,-925
710217,400
710223,600
710227,3982.5
710262,450
710276,251
710287,350
710288,-758.5
710289,1000
710294,-550
710340,200
710343,800
710347,700
710351,-180
710353,-5700
710423,943.5
710429,-1166.33333333
710438,400
710444,1000
710505,300
710511,22417.5
710522,1533
710523,-48
710549,1200
710550,150
710560,-850
710578,-1650
710586,1874
710621,144.25
710623,-1333.33333333
710625,200
710631,900
710645,-1475
710740,125
710742,-500.5
710755,500
710764,-500
710782,300
710800,1187.5
710802,400
710826,2500
710847,300
710862,-9
710863,500
710867,-236
710880,1416.66666667
710892,2550
710901,550
710904,204.5
710912,200
710920,500
710942,2000
710945,1725
710946,541.666666667
710986,441
711025,450
711080,712.5
711098,694.666666667
711108,1000
711128,-900
711155,625
711168,500
711182,786.666666667
711183,425
711186,500
711193,300
711223,-5250
711233,1000
711241,5100
711248,275
711281,-251.333333333
711380,1000
711389,1250.5
711407,-289.267857143
711416,550
711434,1001
711472,350
711474,1000
711487,249
711504,850.0
711514,678
711519,2100
711520,500
711523,-850
711525,600
711528,450
711545,433.333333333
711572,-500
711573,333.333333333
711574,-350
711601,-1333.33333333
711602,-400
711614,-225
711615,1360
711638,1595
711643,-912
711688,-1060
711748,549.166666667
711749,1100
711771,664
711780,1600
711781,-9000
711787,-200
711788,400
711803,250
711821,500
711824,10000
711843,350
711846,-2328
711857,249.583333333
711860,1125
711884,290
711885,1000.5
711893,1500
711894,-3000
711924,1000
711945,-125
711965,1233.33333333
712000,249.5
712005,600
712015,1200
712020,300
712034,450.5
712035,45000
712036,2000
712044,500
712096,300.5
712098,-750
712124,-1291
712125,500
712140,1000
712145,300
712148,-750
712156,200
712218,501
712223,600
712241,1140
712250,200
712251,1417
712281,2466.66666667
712282,1116.66666667
712369,333.333333333
712386,-300
712442,800
712520,233.333333333
712565,-625
712580,1000
712583,510
712589,-2810
712597,400
712598,350
712600,-399
712642,-3033
712658,750
712660,662.5
712680,-200
712684,-2059
712688,-7900
712691,300
712701,-1000
712802,250
712803,1599
712805,1576
712806,1373
712835,267.5
712851,-200
712902,1500
712959,475
713041,-600
713044,-1082
713046,5609.5
713047,-285
713171,935
713200,344
713211,400
713222,1250
713282,-100
713289,-750.0
713296,280
713308,917.5
713310,1400
713322,-890
713325,1000
713346,-443.5
713366,500
713371,1037.5
713382,15408.3333333
713385,341.5
713401,-810
713461,3000
713465,-500
713483,1000
713486,1224
713503,200
713505,533
713565,500
713568,1400
713570,-1000
713573,1000
713631,-87.5
713642,-500
713647,1001
713648,-119
713660,2000
713661,224
713702,-850
713705,-823
713715,633.333333333
713726,1000
713741,800
713763,22400
713768,1100
713772,5733.33333333
713773,13577.25
713774,1000
713803,1000
713805,2000
713823,-550
713862,-400
713900,500
713984,1000
714001,-4500
714003,-600
714024,500
714040,1101
714045,1099
714060,293.666666667
714062,700
714081,-400
714140,400
714141,-500
714160,2099
714161,400
714163,-823
714167,400
714168,-1216
714185,951.5
714205,121
714223,-75
714240,766.666666667
714244,306
714249,1000
714380,-651
714393,699
714394,590
714405,-400
714422,-1640.2
714448,300
714470,-1499
714481,850
714485,1500
714491,200
714553,177.5
714558,-25
714590,-325
714625,50
714709,2000
714717,550
714724,2700
714761,305.5
714762,280.5
714764,400
714768,250
714770,500
714824,500
714826,-700
714860,150
714864,-3000
714873,200
714889,1600
714890,452
714893,400
714932,-100
714940,563
714952,-565
715020,200
715022,900
715024,-271.666666667
715058,700
715060,2945
715065,600
715074,300
715078,-600
715082,140
715084,-500
715093,500
715100,800
715102,800
715104,-440
715118,250
715119,-2220
715136,-800
715158,1987.33333333
715166,225
715191,500
715198,1833.33333333
715210,700
715219,1500
715261,-1200
715278,395
715290,-400.5
715292,700
715296,1500
715334,700
715338,-1125
715351,-500
715358,500
715359,300
715379,-638
715430,-500
715481,-1400
715484,235
715498,400
715520,1500
715526,550
715528,-2250
715558,600
715579,-200
715598,-500
715631,600
715733,180
715743,274
715771,666.5
715776,400
715817,360
715838,-202.6
715839,250
715886,900.333333333
715904,19.6
715911,325
715937,570.5
715940,-1500
715971,3500
715997,1257
716008,275
716117,599
716141,600
716146,500
716172,-165
716187,-300
716191,300
716220,-250
716239,1223.75
716240,3800
716322,500.0
716361,355
716377,1199.5
716380,1500
716382,300
716398,-840
716417,-35000
716437,-548.333333333
716457,500
716460,1000
716499,500.0
716579,-250
716588,199
716590,-716
716591,500
716592,1101
716638,150
716653,1000
